City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Praia,CV,2022-11-21 17:13:15,14.9215,-23.5087,81.14,61,40,21.85
151,Springbok,ZA,2022-11-21 17:13:15,-29.6643,17.8865,59.76,54,100,6.17
152,Wukari,NG,2022-11-21 17:13:16,7.85,9.7833,85.01,27,59,3.02
153,Mattoon,US,2022-11-21 17:10:26,39.4831,-88.3728,46.69,36,0,14.97
154,Mizan Teferi,ET,2022-11-21 17:13:17,6.9833,35.5833,61.5,89,12,2.82
155,Selenduma,RU,2022-11-21 17:13:18,50.9131,106.2406,8.92,93,100,1.28
156,Provideniya,RU,2022-11-21 17:13:18,64.3833,-173.3,9.9,93,100,10.49
157,Caloundra,AU,2022-11-21 17:13:11,-26.8,153.1333,71.11,41,94,11.14
158,Mbabane,SZ,2022-11-21 17:13:19,-26.3167,31.1333,63.7,59,23,5.82
159,Yar-Sale,RU,2022-11-21 17:13:19,66.8333,70.8333,-5.93,96,100,16.49
160,San Patricio,US,2022-11-21 17:13:20,28.017,-97.5169,49.86,81,100,13.47
161,Tabriz,IR,2022-11-21 17:09:40,38.08,46.2919,47.66,49,20,0.0
162,Namibe,AO,2022-11-21 17:13:20,-15.1961,12.1522,74.39,79,62,9.15
163,Korem,ET,2022-11-21 17:13:21,12.5058,39.5228,54.61,57,5,5.48
164,Saskylakh,RU,2022-11-21 17:13:22,71.9167,114.0833,-32.67,100,73,4.68
165,Mangrul Pir,IN,2022-11-21 17:13:22,20.3167,77.35,64.65,41,100,2.44
166,Taoudenni,ML,2022-11-21 17:13:23,22.6783,-3.9836,78.08,16,0,16.08
167,Asau,RO,2022-11-21 17:13:23,46.4333,26.4,33.28,99,100,1.83
168,Poum,NC,2022-11-21 17:13:24,-20.2333,164.0167,79.81,80,20,6.91
169,Hobyo,SO,2022-11-21 17:13:25,5.3505,48.5268,81.14,68,71,16.98
170,Buchanan,LR,2022-11-21 17:13:25,5.8808,-10.0467,81.28,78,42,5.32
171,Kodiak,US,2022-11-21 17:13:26,57.79,-152.4072,36.91,100,100,3.44
172,Kuytun,RU,2022-11-21 17:13:26,54.3419,101.5036,2.98,96,99,0.89
173,Giyani,ZA,2022-11-21 17:13:26,-23.3025,30.7187,78.58,36,3,5.79
174,Norsup,VU,2022-11-21 17:13:27,-16.0667,167.3833,80.04,82,5,7.58
175,Luba,GQ,2022-11-21 17:13:27,3.4568,8.5547,79.84,81,54,7.58
176,Shablykino,RU,2022-11-21 17:13:28,52.8566,35.1964,28.8,97,100,14.2
177,Todos Santos,MX,2022-11-21 17:13:28,23.45,-110.2167,76.05,81,34,3.4
178,Arenapolis,BR,2022-11-21 17:13:29,-14.4503,-56.8461,101.05,25,14,5.19
